Gender,SeasonFav,Handwritting,Year,College,Domestic,FromMinnesota,OnCampus,Shower,Movie.Number,BarberSalon.Money,Donation,SocialMediaFav,SocialMediaHours,ExerciseHours,StudyHours,Sleep.Weekday,SleepWeekend,MarijuanaLegal,GPAHighSchool,GPACollege,Tattoos,Ticket.Driving,Text.Driving,Chocolate
Female,Fall,Right,Sophomore,"College of Food, Agricultural and Natural Resource Sciences (CFANS)",U.S.,Yes,Yes,Depends,1,38,10,YouTube,3,1,2,10,12,Yes,3.993,3,1,0,No,43
Female,Summer,Right,Freshman,College of Biological Sciences (CBS),U.S.,No,Yes,Evening,0,176,10,TikTok,5,2,7,10,12,Yes,3.89,2.89,2,0,Yes,39
Female,Fall,Right,Freshman,College of Liberal Arts (CLA),U.S.,No,Yes,Evening,2,50,500,TikTok,3,1,4,8,9,Not sure,4,4,0,0,No,36
Female,Summer,Right,Sophomore,College of Liberal Arts (CLA),U.S.,Yes,No,Depends,0,185,100,Instagram,2,20,3,8,8,Yes,3.6,3,0,0,Yes,29
Female,Fall,Left,Freshman,College of Biological Sciences (CBS),U.S.,Yes,Yes,Evening,1,200,20,TikTok,5,2,3,6,8,Not sure,3.8,2.6,1,0,No,67
Female,Summer,Right,Freshman,College of Biological Sciences (CBS),U.S.,Yes,Yes,Depends,0,50,10,TikTok,5,4,4,8,8,Yes,3.9,3.7,0,0,No,34
Female,Summer,Left,Freshman,College of Biological Sciences (CBS),U.S.,No,Yes,Depends,1,170,0,TikTok,4,2,3,7,10,Yes,4,4,0,0,No,45
Female,Spring,Left,Junior,Others,U.S.,Yes,No,Depends,0,170,0,TikTok,3,2,6,7,9,Yes,3.95,3.05,2,5,Yes,43
Male,Summer,Right,Sophomore,College of Biological Sciences (CBS),U.S.,Yes,No,Evening,1,20,50,YouTube,5,1,6,7,8,Yes,3.89,3.94,0,0,No,54
Female,Spring,Right,Sophomore,Others,U.S.,Yes,Yes,Morning,0,70,0,Instagram,3,1,4,6,6,Yes,4,3.7,2,0,No,40
Male,Spring,Right,Freshman,College of Liberal Arts (CLA),U.S.,No,No,Evening,1,25,0,YouTube,2,1,4,7,9,Yes,3.5,0,0,0,No,55
Male,Winter,Right,Junior,College of Liberal Arts (CLA),U.S.,Yes,Yes,Depends,0,25,100,YouTube,2,2,6,8,8,No,3.9,3.2,0,0,Yes,70
Male,Spring,Right,Freshman,College of Liberal Arts (CLA),U.S.,Yes,Yes,Morning,0,25,30,Instagram,2,1,3,7,9,Yes,3.63,3.85,0,0,No,84
Female,Spring,Left,Others (PSEO or Post graduate),College of Biological Sciences (CBS),U.S.,Yes,No,Depends,1,130,0,Instagram,3,3,4,7,9,Yes,3.98,3.96,2,0,No,25
Male,Fall,Right,Sophomore,College of Biological Sciences (CBS),U.S.,Yes,No,Evening,0,24,50,YouTube,2,0.75,8,7.3,7.5,Yes,3.91,3.62,0,0,No,36
Female,Summer,Right,Junior,"College of Food, Agricultural and Natural Resource Sciences (CFANS)",U.S.,Yes,Yes,Morning,2,50,30,TikTok,3,2,5,6.5,9,No,3.92,3.58,0,0,No,49
Female,Summer,Right,Junior,Others,U.S.,Yes,No,Depends,0,50,100,Instagram,0.5,7,4,8,8,Yes,3.9,3.72,7,1,No,27
Other/Prefer not to answer,Fall,Right,Sophomore,College of Liberal Arts (CLA),U.S.,No,Yes,Evening,1,45,240,YouTube,3,1,5,8,8,Yes,3.87,3.688,2,1,No,30
Female,Summer,Left,Sophomore,Others,U.S.,No,No,Depends,2,0,0,TikTok,2,2,4,6,7,Not sure,3.5,3.67,0,0,No,56
Other/Prefer not to answer,Fall,Right,Junior,College of Biological Sciences (CBS),U.S.,Yes,No,Depends,0,0,50,TikTok,2,1,4,8,9,Yes,3.98,3,21,0,No,45
Female,Fall,Right,Sophomore,College of Biological Sciences (CBS),U.S.,Yes,Yes,Morning,1,35,1,Instagram,3,0,4,7.5,8,Not sure,3.9,3.6,0,0,Yes,36
Female,Fall,Right,Senior,College of Liberal Arts (CLA),U.S.,Yes,No,Evening,0,35,140,Instagram,4,3,9,7,8,Yes,3.8,3.5,0,0,No,36
Female,Spring,Right,Freshman,College of Liberal Arts (CLA),U.S.,Yes,No,Evening,0,0,0,Instagram,3,1,5,7,6,Not sure,3.8,3.4,0,0,No,22
Female,Spring,Right,Senior,"College of Food, Agricultural and Natural Resource Sciences (CFANS)",U.S.,Yes,No,Depends,1,0,0,Twitter,2,1,5,7,9,Yes,3.4,3.2,0,0,No,35
Male,Fall,Left,Senior,College of Biological Sciences (CBS),U.S.,Yes,No,Evening,1,20,200,Instagram,3,1.5,7,5.5,7,Yes,3.8,3.52,0,0,Yes,55
Male,Spring,Right,Sophomore,"College of Food, Agricultural and Natural Resource Sciences (CFANS)",U.S.,No,No,Morning,0,18,0,Others,5,2,4,6,6,Yes,3.5,3.4,0,0,No,10
